gene	has_hpa_url	hpa_urls	local_imgs	total_img_tags	broken	broken_srcs
LRRC7	True	https://images.proteinatlas.org/5625/1813_E8_4_cr59f33fe02e648_selected.jpg		1	False	
LRRCC1	True	https://images.proteinatlas.org/75880/1813_G3_25_cr5a042b387ce46_selected.jpg		1	False	
LRRN1	True	https://images.proteinatlas.org/11071/87_H8_1_selected.jpg		1	False	
LTB	False			0	False	
LUZP1	True	https://images.proteinatlas.org/28542/257_D9_1_selected.jpg		1	False	
LY9	False			0	False	
LYST	False			0	False	
LZTR1	False			0	False	
MAGEB16	True	https://images.proteinatlas.org/76456/1854_H5_2_selected.jpg		1	False	
MAL	False			0	False	
MAMLD1	True	https://images.proteinatlas.org/3923/1401_A5_6_selected.jpg		1	False	
MAP3K11	True	https://images.proteinatlas.org/10165/970_H1_3_selected.jpg		1	False	
MAP3K13	True	https://images.proteinatlas.org/16497/1271_B2_6_selected.jpg		1	False	
MAP4K3	False			0	False	
MAP7D3	True	https://images.proteinatlas.org/35598/2121_E1_43_selected.jpg		1	False	
MAP9	True	https://images.proteinatlas.org/37864/2167_G2_80_selected.jpg		1	False	
MAPK8IP3	False			0	False	
MAPKAPK2	False			0	False	
MAPRE1	False			0	False	
MATK	False			0	False	
MCF2L2	True	https://images.proteinatlas.org/61485/2034_G8_22_cr6047760e38fb4_selected.jpg		1	False	
MDH1	False			0	False	
MDM1	True	https://images.proteinatlas.org/41594/539_E4_6_selected.jpg		1	False	
MDM2	False			0	False	
MFAP1	True	https://images.proteinatlas.org/15583/1858_F5_33_selected.jpg		1	False	
MGAT4C	True	https://images.proteinatlas.org/16418/1969_D1_5_selected.jpg		1	False	
MIB1	False			0	False	
MICALL1	True	https://images.proteinatlas.org/43480/472_H6_1_selected.jpg		1	False	
MID1	False			0	False	
MKKS	False			0	False	
MLF1	False			0	False	
MME	False			0	False	
MPDZ	False			0	False	
MPHOSPH9	True	https://images.proteinatlas.org/37485/440_G12_2_selected.jpg		1	False	
MPP1	False			0	False	
MT-ND4L	True	https://images.proteinatlas.org/75648/1732_A6_18_cr5806224e592fb_selected.jpg		1	False	
MTHFR	False			0	False	
MTMR11	True	https://images.proteinatlas.org/30351/295_G10_2_selected.jpg		1	False	
MTMR9	True	https://images.proteinatlas.org/70944/1446_H10_1_selected.jpg		1	False	
MYO18B	True	https://images.proteinatlas.org/953/1165_G3_2_selected.jpg		1	False	
MYO5A	False			0	False	
MYOF	False			0	False	
MZT2A	True	https://images.proteinatlas.org/51758/987_D8_2_selected.jpg		1	False	
MZT2B	True	https://images.proteinatlas.org/52623/767_B6_5_selected.jpg		1	False	
