gene	excel_sheets	has_any_report	has_scored_report	has_rejected_report	has_duplicate	duplicate_status	current_status	current_lines	current_chars	needs_new_evaluation	skip_reason
EN1	研究很少	False	False	False	False	OK	missing	0	0	True	
ENTPD7	研究很多	False	False	False	False	OK	missing	0	0	True	
ENTREP2	研究很多	False	False	False	False	OK	missing	0	0	True	
EOMES	研究很少	False	False	False	False	OK	missing	0	0	True	
EPAS1	研究很少	False	False	False	False	OK	missing	0	0	True	
EPHX3	研究很多	False	False	False	False	OK	missing	0	0	True	
ERBB2	研究很少	False	False	False	False	OK	missing	0	0	True	
ERG	研究很少	False	False	False	False	OK	missing	0	0	True	
ERICH2	研究很多	False	False	False	False	OK	missing	0	0	True	
ERICH4	研究很多	False	False	False	False	OK	missing	0	0	True	
ERICH5	研究很多	False	False	False	False	OK	missing	0	0	True	
ERLN	研究很多	False	False	False	False	OK	missing	0	0	True	
ESPNL	研究很多	False	False	False	False	OK	missing	0	0	True	
ESR2	研究很少	False	False	False	False	OK	missing	0	0	True	
ESRRB	研究很少	False	False	False	False	OK	missing	0	0	True	
ETS1	研究很少	False	False	False	False	OK	missing	0	0	True	
ETS2	研究很少	False	False	False	False	OK	missing	0	0	True	
ETV1	研究很少	False	False	False	False	OK	missing	0	0	True	
ETV2	研究很少	False	False	False	False	OK	missing	0	0	True	
ETV4	研究很少	False	False	False	False	OK	missing	0	0	True	
ETV6	研究很少	False	False	False	False	OK	missing	0	0	True	
EVPLL	研究很多	False	False	False	False	OK	missing	0	0	True	
EXO1	研究很少	False	False	False	False	OK	missing	0	0	True	
EZH1	研究很少	False	False	False	False	OK	missing	0	0	True	
EZH2	研究很少	False	False	False	False	OK	missing	0	0	True	
EZHIP	研究很少	False	False	False	False	OK	missing	0	0	True	
FABP4	研究很少	False	False	False	False	OK	missing	0	0	True	
FAH	研究很少	False	False	False	False	OK	missing	0	0	True	
FAM117A	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM117B	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM124A	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM135B	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM13C	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM163B	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM174C	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM217B	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM219B	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM234A	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM240C	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM76A	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM89A	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A1	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A10	研究很多	False	False	False	False	OK	missing	0	0	True	
FAM90A11	研究很多	False	False	False	False	OK	missing	0	0	True	
