gene	is_new
DAZAP1	false
DAZAP2	false
DAZL	false
DBF4B	false
DBNDD1	false
DBNDD2	false
DBP	false
DBR1	false
DBX1	false
DBX2	false
DCAF1	false
DCAF11	false
DCAF16	false
DCAF4	false
DCAF4L1	false
DCAF4L2	false
DCAF5	false
DCAF6	false
DCAKD	false
DCANP1	false
DCK	false
DCLK1	false
DCLK3	false
DCLRE1A	false
DCLRE1B	false
DCLRE1C	false
DCPH1	false
DCTD	false
DCTN1	false
DCTN2	false
DCTN3	false
DCTN4	false
DCTN5	false
DCTN6	false
DCTPP1	false
DCUN1D1	false
DCUN1D2	false
DCUN1D3	false
DCUN1D4	false
DCUN1D5	false
DDA1	false
DDAH1	false
DDAH2	false
DDB1	false
DDB2	false
DDI2	false
DDIAS	false
DDIT3	false
DDIT4L	false
DDN	false
DDRGK1	false
DDX19A	false
DDX19B	false
DDX31	false
DDX39A	false
DDX39B	false
DDX3Y	false
DDX42	false
DDX46	false
DDX50	false
DDX51	false
DDX52	false
DDX54	false
DDX55	false
DDX56	false
DEDD	false
DEDD2	false
DEF6	false
DEF8	false
DEGS2	false
DEK	false
DELE1	false
DENND10	false
DENND11	false
DENND1B	false
DENND1C	false
DENND2C	false
DENND2D	false
DENND4A	false
DENND4B	false
DENND5B	false
DEPDC1	false
DEPDC1B	false
DEPDC7	false
DEPTOR	false
DERA	false
DESI1	false
DET1	false
DEXI	false
DFFB	false
DGAT1	false
DGCR14	false
DGCR6	false
DGCR6L	false
DGCR8	false
DGKA	false
DGKE	false
DGKQ	false
DGKZ	false
DGUOK	false
DHCR24	false
DHDH	false
DHPS	false
DHRS1	false
DHRS12	false
DHRS13	false
DHRS3	false
DHRS7	false
DHRS7B	false
DHRS7C	false
DHRS9	false
DHX16	false
DHX29	false
DHX30	false
DHX33	false
DHX34	false
DHX36	false
DHX37	false
DHX38	false
DHX40	false
DHX58	false
DHX8	false
DHX9	false
DIAPH1	false
DIAPH2	false
DIAPH3	false
DIDO1	false
DIEXF	false
DIMT1	false
DIO2	false
DIP2A	false
DIP2C	false
DIPK1A	false
DIPK1B	false
DIS3	false
DIS3L	false
DIS3L2	false
DISP2	false
DISP3	false
DKC1	false
DLAT	false
DLD	false
DLEU1	false
DLEU2	false
DLG2	false
DLG3	false
DLG4	false
DLG5	false
DLGAP2	false
DLGAP3	false
DLGAP4	false
DLGAP5	false
DLK2	false
DLL3	false
DLST	false
DLX1	false
DLX2	false
DLX3	false
DLX4	false
DLX5	false
DLX6	false
DMAC2	false
DMAC2L	false
DMAP1	false
DMBX1	false
DMC1	false
DMPK	false
DMRT1	false
DMRT2	false
DMRT3	false
DMRTA1	false
DMRTA2	false
DMRTB1	false
DMRTC1	false
DMRTC1B	false
DMRTC2	false
DMTF1	false
DMTN	false
DMWD	false
DMXL1	false
DMXL2	false
DNA2	false
DNAAF2	false
DNAAF3	false
DNAAF4	false
DNAAF5	false
DNAAF6	false
DNAAF9	false
DNAH12	false
DNAJA1	false
DNAJA2	false
DNAJA3	false
DNAJA4	false
DNAJB1	false
DNAJB11	false
DNAJB12	false
DNAJB13	false
DNAJB14	false
DNAJB2	false
DNAJB5	false
DNAJB6	false
DNAJB8	false
DNAJB9	false
DNAJC1	false
DNAJC10	false
DNAJC11	false
DNAJC13	false
DNAJC14	false
DNAJC15	false
