gene	category	status	lines	risk	modified_today	issues	issue_count
FAM131C	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM135A	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM135B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM13C	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM161B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM163B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM171B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM174C	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM178B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM181A	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM186B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM199X	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM204A	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM217B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM219B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM227A	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM227B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM228A	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM229B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM234A	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM240C	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
