gene	cat	status	length	priority	issues_count	issues
RRM2	rejected	rejected	887	OK	0	OK
RTCA	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
RTEL1	rejected	rejected	785	MED	1	REJ_NO_CLEAR_REASON
RUBCN	rejected	rejected	768	MED	1	REJ_NO_CLEAR_REASON
RUVBL1	rejected	rejected	791	MED	1	REJ_NO_CLEAR_REASON
RUVBL2	rejected	rejected	791	MED	1	REJ_NO_CLEAR_REASON
RXRB	rejected	rejected	762	MED	1	REJ_NO_CLEAR_REASON
RXRG	rejected	rejected	762	MED	1	REJ_NO_CLEAR_REASON
RYR2	rejected	rejected	764	MED	1	REJ_NO_CLEAR_REASON
Rhox5	rejected	rejected	859	MED	1	REJ_NO_CLEAR_REASON
Rrn3	rejected	rejected	855	MED	1	REJ_NO_CLEAR_REASON
SAFB	rejected	rejected	765	MED	1	REJ_NO_CLEAR_REASON
SAMD4A	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
SARS1	rejected	rejected	771	MED	1	REJ_NO_CLEAR_REASON
SASH1	rejected	rejected	773	MED	1	REJ_NO_CLEAR_REASON
SAV1	rejected	rejected	824	MED	1	REJ_NO_CLEAR_REASON
SCAI	rejected	rejected	773	MED	1	REJ_NO_CLEAR_REASON
SCYL1	rejected	rejected	742	MED	1	REJ_NO_CLEAR_REASON
SELENBP1	rejected	rejected	776	MED	1	REJ_NO_CLEAR_REASON
SEMA4B	rejected	rejected	757	MED	1	REJ_NO_CLEAR_REASON
SENP1	rejected	rejected	891	OK	0	OK
SESN1	rejected	rejected	750	MED	1	REJ_NO_CLEAR_REASON
SGK1	rejected	rejected	778	MED	1	REJ_NO_CLEAR_REASON
SGK3	rejected	rejected	791	MED	1	REJ_NO_CLEAR_REASON
SGMS1	rejected	rejected	764	MED	1	REJ_NO_CLEAR_REASON
SGO1	rejected	rejected	749	MED	1	REJ_NO_CLEAR_REASON
SHF	rejected	rejected	770	MED	1	REJ_NO_CLEAR_REASON
SHMT1	rejected	rejected	820	MED	1	REJ_NO_CLEAR_REASON
SHOC2	rejected	rejected	829	MED	1	REJ_NO_CLEAR_REASON
SHOX	rejected	rejected	750	MED	1	REJ_NO_CLEAR_REASON
SHOX2	rejected	rejected	756	MED	1	REJ_NO_CLEAR_REASON
SIGLEC11	rejected	rejected	769	MED	1	REJ_NO_CLEAR_REASON
SIK2	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
SIM1	rejected	rejected	820	MED	1	REJ_NO_CLEAR_REASON
SIM2	rejected	rejected	820	MED	1	REJ_NO_CLEAR_REASON
SIPA1	rejected	rejected	831	MED	1	REJ_NO_CLEAR_REASON
SIX3	rejected	rejected	785	MED	1	REJ_NO_CLEAR_REASON
SIX4	rejected	rejected	784	MED	1	REJ_NO_CLEAR_REASON
SIX5	rejected	rejected	784	MED	1	REJ_NO_CLEAR_REASON
SIX6	rejected	rejected	785	MED	1	REJ_NO_CLEAR_REASON
SKA1	rejected	rejected	766	MED	1	REJ_NO_CLEAR_REASON
SKA2	rejected	rejected	767	MED	1	REJ_NO_CLEAR_REASON
SKIL	rejected	rejected	786	MED	1	REJ_NO_CLEAR_REASON
SKP1	rejected	rejected	815	MED	1	REJ_NO_CLEAR_REASON
SKP2	rejected	rejected	817	MED	1	REJ_NO_CLEAR_REASON
SLA	rejected	rejected	756	MED	1	REJ_NO_CLEAR_REASON
SLFN11	rejected	rejected	769	MED	1	REJ_NO_CLEAR_REASON
SLX4	rejected	rejected	854	MED	1	REJ_NO_CLEAR_REASON
SMAD5	rejected	rejected	762	MED	1	REJ_NO_CLEAR_REASON
SMAD6	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
SMAD7	rejected	rejected	767	MED	1	REJ_NO_CLEAR_REASON
SMN1	rejected	rejected	780	MED	1	REJ_NO_CLEAR_REASON
SMN2	rejected	rejected	575	OK	0	OK
SMOX	rejected	rejected	754	MED	1	REJ_NO_CLEAR_REASON
SMUG1	rejected	rejected	868	MED	1	REJ_NO_CLEAR_REASON
SMURF2	rejected	rejected	895	OK	0	OK
SND1	rejected	rejected	792	MED	1	REJ_NO_CLEAR_REASON
SOBP	rejected	rejected	803	MED	1	REJ_NO_CLEAR_REASON
SOCS1	rejected	rejected	781	MED	1	REJ_NO_CLEAR_REASON
SOCS4	rejected	rejected	775	MED	1	REJ_NO_CLEAR_REASON
SOCS6	rejected	rejected	775	MED	1	REJ_NO_CLEAR_REASON
SOHLH2	rejected	rejected	783	MED	1	REJ_NO_CLEAR_REASON
SOS2	rejected	rejected	786	MED	1	REJ_NO_CLEAR_REASON
SOX18	rejected	rejected	812	MED	1	REJ_NO_CLEAR_REASON
SOX21	rejected	rejected	811	MED	1	REJ_NO_CLEAR_REASON
SOX5	rejected	rejected	806	MED	1	REJ_NO_CLEAR_REASON
