gene	category	status	lines	is_thin	is_one_liner	has_packet_error	has_template	risk	missing_fields	issues
CETN2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
DBNDD1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CNGA4	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
PRRT3	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
BMAL2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
PRRT4	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
SPATA31F1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FBXO27	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
BARD1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
SMKR1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
